1,2,3,,,,,,,
0.513896508,0.515833333,0.508865248,0.528046422,0.507627119,0.507115385,0.507049245,0.51094495,0.51699815,0.526342994
0.508411044,0.516666667,0.510638298,0.517408124,0.506355932,0.504423077,0.507049245,0.522323364,0.539546716,0.522510961
0.509416712,0.508333333,0.514184397,0.50967118,0.511440678,0.505,0.504666402,0.513654096,0.523589269,0.526485581
0.506948254,0.51,0.509751773,0.505802708,0.511864407,0.506923077,0.509332804,0.518964023,0.526827012,0.524097245
0.555951728,0.561666667,0.54964539,0.543520309,0.533474576,0.517307692,0.509531374,0.515604681,0.514338575,0.51240509
0.549826294,0.546666667,0.554078014,0.548355899,0.54279661,0.519230769,0.510722796,0.517338535,0.514569843,0.511709978
0.508411044,0.511666667,0.519503546,0.513539652,0.507627119,0.510192308,0.511417792,0.5218899,0.534111933,0.520158272
0.521393308,0.518333333,0.523049645,0.513539652,0.519067797,0.509615385,0.505262113,0.512787169,0.521507863,0.521423734
0.501097093,0.5025,0.505319149,0.510638298,0.504237288,0.5075,0.509928515,0.529150412,0.538968548,0.520104802
0.502011337,0.504166667,0.506205674,0.505802708,0.507627119,0.509038462,0.51350278,0.529908973,0.53966235,0.518607636
